,rating,movieId,title,genres
0,3.5,1.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,3.5,2.0,Jumanji (1995),Adventure|Children|Fantasy
2,3.5,3.0,Grumpier Old Men (1995),Comedy|Romance
3,3.5,4.0,Waiting to Exhale (1995),Comedy|Drama|Romance
4,3.5,5.0,Father of the Bride Part II (1995),Comedy
5,3.5,6.0,Heat (1995),Action|Crime|Thriller
6,4.0,7.0,Sabrina (1995),Comedy|Romance
7,4.0,8.0,Tom and Huck (1995),Adventure|Children
8,4.0,9.0,Sudden Death (1995),Action
9,4.0,10.0,GoldenEye (1995),Action|Adventure|Thriller
10,4.0,11.0,"American President, The (1995)",Comedy|Drama|Romance
11,4.0,12.0,Dracula: Dead and Loving It (1995),Comedy|Horror
12,4.0,13.0,Balto (1995),Adventure|Animation|Children
13,3.5,14.0,Nixon (1995),Drama
14,3.5,15.0,Cutthroat Island (1995),Action|Adventure|Romance
15,4.0,16.0,Casino (1995),Crime|Drama
16,3.5,17.0,Sense and Sensibility (1995),Drama|Romance
17,3.5,18.0,Four Rooms (1995),Comedy
18,3.0,19.0,Ace Ventura: When Nature Calls (1995),Comedy
19,3.5,20.0,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,3.5,21.0,Get Shorty (1995),Comedy|Crime|Thriller
21,3.5,22.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,4.0,23.0,Assassins (1995),Action|Crime|Thriller
23,4.0,24.0,Powder (1995),Drama|Sci-Fi
24,3.5,25.0,Leaving Las Vegas (1995),Drama|Romance
25,3.5,26.0,Othello (1995),Drama
26,4.0,27.0,Now and Then (1995),Children|Drama
27,4.0,28.0,Persuasion (1995),Drama|Romance
28,3.5,29.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,3.5,30.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,4.5,31.0,Dangerous Minds (1995),Drama
31,4.5,32.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,4.0,33.0,Wings of Courage (1995),Adventure|Romance|IMAX
33,3.0,34.0,Babe (1995),Children|Drama
34,3.5,35.0,Carrington (1995),Drama|Romance
35,4.0,36.0,Dead Man Walking (1995),Crime|Drama
36,4.0,37.0,Across the Sea of Time (1995),Documentary|IMAX
37,3.5,38.0,It Takes Two (1995),Children|Comedy
38,4.0,39.0,Clueless (1995),Comedy|Romance
39,3.5,40.0,"Cry, the Beloved Country (1995)",Drama
40,4.0,41.0,Richard III (1995),Drama|War
41,3.0,42.0,Dead Presidents (1995),Action|Crime|Drama
42,3.5,43.0,Restoration (1995),Drama
43,4.0,44.0,Mortal Kombat (1995),Action|Adventure|Fantasy
44,4.0,45.0,To Die For (1995),Comedy|Drama|Thriller
45,4.0,46.0,How to Make an American Quilt (1995),Drama|Romance
46,3.5,47.0,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,3.5,48.0,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,4.0,49.0,When Night Is Falling (1995),Drama|Romance
49,4.0,50.0,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,3.5,51.0,Guardian Angel (1994),Action|Drama|Thriller
51,3.0,52.0,Mighty Aphrodite (1995),Comedy|Drama|Romance
52,4.0,53.0,Lamerica (1994),Adventure|Drama
53,4.0,54.0,"Big Green, The (1995)",Children|Comedy
54,3.5,55.0,Georgia (1995),Drama
55,3.5,56.0,Kids of the Round Table (1995),Adventure|Children|Fantasy
56,4.0,57.0,Home for the Holidays (1995),Drama
57,3.0,58.0,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
58,4.0,59.0,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
59,4.0,60.0,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
60,3.0,61.0,Eye for an Eye (1996),Drama|Thriller
61,3.5,62.0,Mr. Holland's Opus (1995),Drama
62,3.5,63.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
63,3.5,64.0,Two if by Sea (1996),Comedy|Romance
64,3.5,65.0,Bio-Dome (1996),Comedy
65,4.0,66.0,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
66,3.5,67.0,Two Bits (1995),Drama
67,3.5,68.0,French Twist (Gazon maudit) (1995),Comedy|Romance
68,4.0,69.0,Friday (1995),Comedy
69,4.0,70.0,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
70,4.0,71.0,Fair Game (1995),Action
71,4.0,72.0,Kicking and Screaming (1995),Comedy|Drama
72,4.0,73.0,"Misérables, Les (1995)",Drama|War
73,4.0,74.0,Bed of Roses (1996),Drama|Romance
74,4.0,75.0,Big Bully (1996),Comedy|Drama
75,4.0,76.0,Screamers (1995),Action|Sci-Fi|Thriller
76,4.0,77.0,Nico Icon (1995),Documentary
77,3.5,78.0,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
78,3.5,79.0,"Juror, The (1996)",Drama|Thriller
79,4.0,80.0,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
80,4.0,81.0,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
81,4.0,82.0,Antonia's Line (Antonia) (1995),Comedy|Drama
82,4.0,83.0,Once Upon a Time... When We Were Colored (1995),Drama|Romance
83,3.5,84.0,Last Summer in the Hamptons (1995),Comedy|Drama
84,3.5,85.0,Angels and Insects (1995),Drama|Romance
85,3.5,86.0,White Squall (1996),Action|Adventure|Drama
86,3.5,87.0,Dunston Checks In (1996),Children|Comedy
87,3.5,88.0,Black Sheep (1996),Comedy
88,3.5,89.0,Nick of Time (1995),Action|Thriller
89,3.0,90.0,"Journey of August King, The (1995)",Drama
90,4.0,92.0,Mary Reilly (1996),Drama|Horror|Thriller
91,3.5,93.0,Vampire in Brooklyn (1995),Comedy|Horror|Romance
92,4.0,94.0,Beautiful Girls (1996),Comedy|Drama|Romance
93,3.5,95.0,Broken Arrow (1996),Action|Adventure|Thriller
94,4.0,96.0,In the Bleak Midwinter (1995),Comedy|Drama
95,3.5,97.0,"Hate (Haine, La) (1995)",Crime|Drama
96,4.0,98.0,Shopping (1994),Action|Thriller
97,4.0,99.0,Heidi Fleiss: Hollywood Madam (1995),Documentary
98,3.5,100.0,City Hall (1996),Drama|Thriller
99,3.0,101.0,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
100,3.5,102.0,Mr. Wrong (1996),Comedy
101,4.0,103.0,Unforgettable (1996),Mystery|Sci-Fi|Thriller
102,4.0,104.0,Happy Gilmore (1996),Comedy
103,3.5,105.0,"Bridges of Madison County, The (1995)",Drama|Romance
104,3.5,106.0,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
105,3.5,107.0,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
106,4.0,108.0,Catwalk (1996),Documentary
107,4.0,109.0,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
108,4.0,110.0,Braveheart (1995),Action|Drama|War
109,4.0,111.0,Taxi Driver (1976),Crime|Drama|Thriller
110,3.0,112.0,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
111,4.0,113.0,Before and After (1996),Drama|Mystery
112,3.5,114.0,Margaret's Museum (1995),Drama
113,4.0,115.0,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
114,4.0,116.0,Anne Frank Remembered (1995),Documentary
115,3.5,117.0,"Young Poisoner's Handbook, The (1995)",Crime|Drama
116,4.0,118.0,If Lucy Fell (1996),Comedy|Romance
117,3.0,119.0,"Steal Big, Steal Little (1995)",Comedy
118,3.5,120.0,Race the Sun (1996),Adventure|Comedy|Drama
119,4.0,121.0,"Boys of St. Vincent, The (1992)",Drama
120,3.5,122.0,Boomerang (1992),Comedy|Romance
121,4.0,123.0,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
122,4.0,124.0,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
123,3.5,125.0,Flirting With Disaster (1996),Comedy
124,4.0,126.0,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
125,3.5,127.0,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
126,4.0,128.0,Jupiter's Wife (1994),Documentary
127,4.0,129.0,Pie in the Sky (1996),Comedy|Romance
